,Country,Sport_1,Points_1,Sport_2,Points_2,Sport_3,Points_3
82,Peru,Artistic Gymnastics,1.08,Athletics,0.82,Sailing,0.42
83,Ecuador,Weightlifting,2.42,Athletics,2.14,Cycling Road,1.16
84,Islamic Republic of Iran,Wrestling,5.32,Shooting,2.56,Karate,1.45
85,"Virgin Islands, US",Artistic Gymnastics,1.13,Wrestling,0.55,Lacrosse,0.32
86,American Samoa,Artistic Gymnastics,1.06,Lacrosse,0.25,Polo,0.15
87,Mongolia,Judo,5.29,Wrestling,2.58,Artistic Gymnastics,1.09
88,North Macedonia,Artistic Gymnastics,1.13,Taekwondo,0.69,Wrestling,0.42
89,Nigeria,Wrestling,1.72,Athletics,1.17,Artistic Gymnastics,1.12
90,Trinidad and Tobago,Artistic Gymnastics,1.12,Athletics,0.44,Wrestling,0.4
91,Egypt,Weightlifting,2.41,Karate,2.32,Fencing,2.22
92,Indonesia,Badminton,3.45,Weightlifting,2.51,Artistic Gymnastics,1.1
93,Cuba,Boxing,9.16,Wrestling,5.39,Canoe Sprint,2.43
94,Oman,Artistic Gymnastics,1.13,Wrestling,0.42,Lacrosse,0.32
95,Venezuela,Weightlifting,2.56,Wrestling,1.89,Swimming,1.87
96,Bangladesh,Artistic Gymnastics,1.08,Lacrosse,0.27,Polo,0.18
97,Afghanistan,Artistic Gymnastics,1.06,Lacrosse,0.25,Polo,0.15
98,Singapore,Swimming,1.62,Artistic Gymnastics,1.13,Wrestling,0.42
99,Bhutan,Artistic Gymnastics,1.08,Lacrosse,0.27,Polo,0.18
100,Algeria,Artistic Gymnastics,1.06,Wrestling,0.9,Boxing,0.68
101,Sri Lanka,Artistic Gymnastics,1.12,Wrestling,0.4,Lacrosse,0.3
102,Nepal,Artistic Gymnastics,1.1,Wrestling,0.4,Boxing,0.38
103,Refugee Olympic Team,Artistic Gymnastics,1.13,Judo,0.96,Wrestling,0.42
104,Qatar,Athletics,1.58,Artistic Gymnastics,1.24,Weightlifting,1.12
105,Kuwait,Artistic Gymnastics,1.1,Shooting,0.83,Wrestling,0.4
106,Bahrain,Athletics,1.96,Artistic Gymnastics,1.07,Modern Pentathlon,0.42
107,Senegal,Artistic Gymnastics,1.13,Wrestling,0.42,Lacrosse,0.32
108,Guatemala,Artistic Gymnastics,1.1,Athletics,1.04,Lacrosse,0.29
109,Iraq,Artistic Gymnastics,1.1,Lacrosse,0.29,Polo,0.2
110,Jordan,Artistic Gymnastics,1.1,Wrestling,0.82,Taekwondo,0.79
111,Yemen,Artistic Gymnastics,1.13,Wrestling,0.55,Lacrosse,0.32
112,Tunisia,Wrestling,2.21,Artistic Gymnastics,1.1,Fencing,1.09
113,Aruba,Artistic Gymnastics,1.08,Lacrosse,0.27,Synchronized Swimming,0.22
114,Myanmar,Artistic Gymnastics,1.1,Wrestling,0.4,Lacrosse,0.29
115,Vietnam,Artistic Gymnastics,1.24,Wrestling,0.58,Fencing,0.5
116,Nicaragua,Artistic Gymnastics,1.13,Cycling Road,0.5,Wrestling,0.42
117,United Arab Emirates,Artistic Gymnastics,1.13,Wrestling,0.55,Baseball,0.38
118,Dominican Republic,Athletics,1.62,Weightlifting,1.52,Artistic Gymnastics,1.11
119,South Africa,Swimming,1.72,Athletics,1.3,Artistic Gymnastics,1.13
120,Sao Tome and Principe,Artistic Gymnastics,1.13,Wrestling,0.42,Lacrosse,0.32
121,Samoa,Artistic Gymnastics,1.13,Canoe Sprint,0.95,Wrestling,0.42
122,Cook Islands,Artistic Gymnastics,1.08,Lacrosse,0.27,Canoe Sprint,0.2
123,Mozambique,Artistic Gymnastics,1.1,Wrestling,0.4,Lacrosse,0.29
124,Belize,Artistic Gymnastics,1.08,Lacrosse,0.27,Canoe Sprint,0.18
125,Ethiopia,Athletics,7.93,Artistic Gymnastics,1.11,Lacrosse,0.32
126,Costa Rica,Artistic Gymnastics,1.08,Lacrosse,0.27,Surfing,0.2
127,Paraguay,Artistic Gymnastics,1.13,Football,0.87,Wrestling,0.42
128,Namibia,Artistic Gymnastics,1.1,Athletics,1.05,Wrestling,0.4
129,Rwanda,Artistic Gymnastics,1.13,Wrestling,0.42,Lacrosse,0.32
130,Burkina Faso,Artistic Gymnastics,1.08,Athletics,0.72,Lacrosse,0.27
131,Panama,Artistic Gymnastics,1.13,Wrestling,0.42,Lacrosse,0.32
132,Zambia,Artistic Gymnastics,1.13,Wrestling,0.69,Lacrosse,0.32
133,C̫te d'Ivoire,Taekwondo,1.12,Artistic Gymnastics,1.12,Lacrosse,0.31
134,Honduras,Artistic Gymnastics,1.1,Lacrosse,0.29,Polo,0.2
135,Mauritius,Artistic Gymnastics,1.1,Wrestling,0.51,Lacrosse,0.29
136,Eswatini,Artistic Gymnastics,1.12,Athletics,0.37,Lacrosse,0.31
137,Uganda,Athletics,5.13,Artistic Gymnastics,1.11,Wrestling,0.41
138,Cameroon,Artistic Gymnastics,1.08,Cycling Road,0.29,Lacrosse,0.27
